date,country_name,cluster_name,contributor_name,market,Camel,Camel - Grade,Camel Price,Camel Image,Cattle,Cattle - Grade,Cattle - Price,Cattle Image,Goat,Goat - Grade,Goat - Price,Goat Image,Sheep,Sheep - Grade,Sheep Price,Sheep Image,gps_latitude,gps_longitude,gps_altitude,_review_status
2022-05-14,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/26559821?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1652510014255.jpg,Yes,Moderate (Grade 2),1500,http://classic.ona.io/api/v1/files/26559822?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1652510359145.jpg,2.010321667,37.50395,541.5,Accepted
2022-05-07,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2500,http://classic.ona.io/api/v1/files/26465174?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1651903681918.jpg,Yes,Moderate (Grade 2),3000,http://classic.ona.io/api/v1/files/26465175?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1651903724814.jpg,2.01033,37.50408,547,Accepted
2022-05-21,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2000,http://classic.ona.io/api/v1/files/26681739?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1653115051445.jpg,Yes,Moderate (Grade 2),1500,http://classic.ona.io/api/v1/files/26681740?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1653115073028.jpg,2.010316667,37.50390667,514.1,Accepted
2022-06-06,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2300,http://classic.ona.io/api/v1/files/27050969?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1654497899370.jpg,Yes,Moderate (Grade 2),2600,http://classic.ona.io/api/v1/files/27050970?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1654497932209.jpg,2.010243333,37.50402833,545,Accepted
2022-01-29,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2500,http://classic.ona.io/api/v1/files/24553612?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1643440634426.jpg,Yes,Moderate (Grade 2),1400,http://classic.ona.io/api/v1/files/24553613?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1643440662433.jpg,2.0103907,37.5040705,539.3,Accepted
2022-03-05,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2200,http://classic.ona.io/api/v1/files/25142499?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1646462792909.jpg,Yes,Emaciated (Grade 3),1500,http://classic.ona.io/api/v1/files/25142500?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1646462822939.jpg,2.0103463,37.5040702,552.9,Accepted
2022-06-21,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),3200,http://classic.ona.io/api/v1/files/27367994?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1655795473143.jpg,Yes,Moderate (Grade 2),3500,http://classic.ona.io/api/v1/files/27367995?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1655795512655.jpg,2.010433333,37.50405667,539.8,Accepted
2022-06-25,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2100,http://classic.ona.io/api/v1/files/27498555?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1656140887662.jpg,Yes,Moderate (Grade 2),2000,http://classic.ona.io/api/v1/files/27498557?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1656140905591.jpg,2.010353333,37.50391833,514.1,Accepted
2022-06-25,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2800,http://classic.ona.io/api/v1/files/27498391?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1656140664673.jpg,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/27498390?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1656140698143.jpg,2.010223333,37.503975,512.4,Accepted
2022-04-16,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/26178230?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1650090672876.jpg,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/26178231?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1650090756150.jpg,2.010383333,37.503995,567.9,Accepted
