Crop ,Indicator,Indicator Name,Region Name,province_id,Region - RegionId,Scale,Units,2011,2012,2013,2014,2015,2016,2017
Rice,Yield Rate,Rice Yield Rate,Eastern Province,31,ZM-03,units,MT/HA,1.666982709,1.126614482,1.888542306,1.093632113,1.9810964,1.397758307,1.477981769
Rice,Yield Rate,Rice Yield Rate,Luapula Province,32,ZM-04,units,MT/HA,2.225429439,2.075465534,1.949594432,1.695145056,0.941792736,1.755192384,1.884109855
Rice,Yield Rate,Rice Yield Rate,Lusaka Province,33,ZM-09,units,MT/HA,1.634291671,0.765762289,1.094449087,1.153503753,0.633077326,0.196470588,0.178
Rice,Yield Rate,Rice Yield Rate,Muchinga Province,34,ZM-10,units,MT/HA,,1.72269667,1.493772118,1.601935676,1.836573884,1.16628618,1.883844505
Rice,Yield Rate,Rice Yield Rate,Northern Province,35,ZM-05,units,MT/HA,1.727620298,1.671700825,1.000931408,1.19650159,0.968464592,1.050901574,0.831591853
Rice,Yield Rate,Rice Yield Rate,North-Western Province,36,ZM-06,units,MT/HA,1.255554802,2.082348464,1.680991328,1.618112627,0.91673126,1.517585217,1.262453202
Rice,Yield Rate,Rice Yield Rate,Southern Province,37,ZM-07,units,MT/HA,,0.605338738,0.39187122,0.324219927,,0.485333333,
Rice,Yield Rate,Rice Yield Rate,Western Province,38,ZM-01,units,MT/HA,1.049866942,1.184469816,1.009645128,1.103466277,0.171651575,0.749465559,0.930725549
Rice,Yield Rate,Rice Expected Sales,Zambia,,ZM,units,Mt,26796.6,22999.38696,21432.40927,29750.87202,12728.24399,13867.8859,
Rice,Expected Sales,Rice Expected Sales,Central Province,29,ZM-02,units,Mt,453.0563871,0,0,0,0,13.23214279,8.885328416
Rice,Expected Sales,Rice Expected Sales,Copperbelt Province,30,ZM-08,units,Mt,11.59278685,33.90735084,20.16099626,0,2.569961941,8.030711725,47.80910057
Rice,Expected Sales,Rice Expected Sales,Eastern Province,31,ZM-03,units,Mt,1167.491674,633.5996731,659.7895723,602.1452341,574.742827,602.5626303,495.91849
Rice,Expected Sales,Rice Expected Sales,Luapula Province,32,ZM-04,units,Mt,1733.591664,2051.83433,2228.301387,1349.96811,1026.411504,2113.91272,2809.159826
Rice,Expected Sales,Rice Expected Sales,Lusaka Province,33,ZM-09,units,Mt,101.4043411,30.01659453,7.618040722,10.25443353,2.509074897,0,0
Rice,Expected Sales,Rice Expected Sales,Muchinga Province,34,ZM-10,units,Mt,,3926.319701,4164.368641,3244.483038,2180.788139,1259.815274,4057.578418
Rice,Expected Sales,Rice Expected Sales,Northern Province,35,ZM-05,units,Mt,15960.58579,8766.443953,7554.416002,13900.80903,7681.792752,6612.077032,5955.498001
Rice,Expected Sales,Rice Expected Sales,North-Western Province,36,ZM-06,units,Mt,399.6119115,383.892059,194.6455718,279.8257123,99.0193117,225.8666591,174.1235647
Rice,Expected Sales,Rice Expected Sales,Southern Province,37,ZM-07,units,Mt,,0,11.87873631,53.35847954,,0,
Rice,Expected Sales,Rice Expected Sales,Western Province,38,ZM-01,units,Mt,6969.269964,7173.373297,6591.230322,10310.02798,1160.410419,3032.388726,4986.55646
Rice,Expected Sales,Millet Area Planted,Zambia,,ZM,units,Ha,42662.98046,35828.01416,33783.8385,39322.68556,46843.74484,53673.47769,52787.42257
Millet,Area Planted,Millet Area Planted,Central Province,29,ZM-02,units,Ha,2320.636745,1489.160073,2616.836088,2719.324286,1881.635033,2225.136902,2110.136778
Millet,Area Planted,Millet Area Planted,Copperbelt Province,30,ZM-08,units,Ha,281.2428944,102.1940276,144.7820056,113.4792032,266.8616141,679.6419377,189.1001104
Millet,Area Planted,Millet Area Planted,Eastern Province,31,ZM-03,units,Ha,1784.030252,318.0675466,994.7429223,396.93929,690.4883089,436.8218818,673.5355963
Millet,Area Planted,Millet Area Planted,Luapula Province,32,ZM-04,units,Ha,593.1265539,1551.461088,1112.290936,1275.209395,2025.290401,1766.391912,1241.363107
Millet,Area Planted,Millet Area Planted,Lusaka Province,33,ZM-09,units,Ha,111.5190016,158.3218864,,99.51967991,12.79133641,40.78783466,6.652707243
Millet,Area Planted,Millet Area Planted,Muchinga Province,34,ZM-10,units,Ha,,8135.910589,7757.395845,10304.05464,8023.635179,7464.189481,10054.04474
Millet,Area Planted,Millet Area Planted,Northern Province,35,ZM-05,units,Ha,25960.72476,10589.19016,11784.58814,12738.23533,18085.39097,14511.32538,12883.95848
Millet,Area Planted,Millet Area Planted,North-Western Province,36,ZM-06,units,Ha,578.4103144,332.155684,157.7318174,234.0501899,246.9592043,134.5806415,350.0666348
Millet,Area Planted,Millet Area Planted,Southern Province,37,ZM-07,units,Ha,1194.609243,3684.762217,2350.729609,2147.878723,4736.530155,2251.57548,3164.31963
Millet,Area Planted,Millet Area Planted,Western Province,38,ZM-01,units,Ha,9838.680696,9466.790889,6864.74113,9293.994824,10874.16264,24163.02624,22114.24478
Millet,Area Planted,Millet  Expected Production,Zambia,,ZM,units,Mt,37644.12042,28445.55382,23902.58414,30438.70261,31865.24416,29940.41093,32521.11269
Millet,Expected Production,Millet  Expected Production,Central Province,29,ZM-02,units,Mt,2150.593551,1449.465244,2312.343162,1879.114153,1268.164029,1064.323897,1664.806416
Millet,Expected Production,Millet  Expected Production,Copperbelt Province,30,ZM-08,units,Mt,117.5178844,169.6880159,155.3671231,98.58152476,156.2385899,831.7697603,105.3643279
Millet,Expected Production,Millet  Expected Production,Eastern Province,31,ZM-03,units,Mt,1610.652247,113.3934452,458.8629745,530.8604292,396.6846146,234.8324661,280.2152531
Millet,Expected Production,Millet  Expected Production,Luapula Province,32,ZM-04,units,Mt,546.5640013,1877.896293,1016.839176,1369.4683,2716.49558,1552.337753,1323.809406
